timestamp,name,cpu,memory
2026-08-28T00:54:13.0394805-06:00,meridian-api,0.00%,"167.5MiB / 7.651GiB"
2026-08-28T00:54:13.0394805-06:00,meridian-postgres,0.00%,"40.03MiB / 7.651GiB"
2026-08-28T00:54:13.0394805-06:00,meridian-redis,0.33%,"5.84MiB / 7.651GiB"
2026-08-28T00:54:18.1575427-06:00,meridian-api,39.02%,"171.8MiB / 7.651GiB"
2026-08-28T00:54:18.1575427-06:00,meridian-postgres,3.02%,"43.22MiB / 7.651GiB"
2026-08-28T00:54:18.1575427-06:00,meridian-redis,0.33%,"6.312MiB / 7.651GiB"
2026-08-28T00:54:23.2662642-06:00,meridian-api,23.69%,"196.9MiB / 7.651GiB"
2026-08-28T00:54:23.2662642-06:00,meridian-postgres,2.93%,"43.24MiB / 7.651GiB"
2026-08-28T00:54:23.2662642-06:00,meridian-redis,0.34%,"6.289MiB / 7.651GiB"
2026-08-28T00:54:28.3745426-06:00,meridian-api,28.82%,"199.1MiB / 7.651GiB"
2026-08-28T00:54:28.3745426-06:00,meridian-postgres,2.80%,"43.65MiB / 7.651GiB"
2026-08-28T00:54:28.3745426-06:00,meridian-redis,0.31%,"6.434MiB / 7.651GiB"
2026-08-28T00:54:33.4819465-06:00,meridian-api,15.02%,"201.4MiB / 7.651GiB"
2026-08-28T00:54:33.4819465-06:00,meridian-postgres,2.75%,"43.02MiB / 7.651GiB"
2026-08-28T00:54:33.4819465-06:00,meridian-redis,0.33%,"6.652MiB / 7.651GiB"
2026-08-28T00:54:38.5954071-06:00,meridian-api,15.30%,"201.5MiB / 7.651GiB"
2026-08-28T00:54:38.5954071-06:00,meridian-postgres,2.93%,"43.02MiB / 7.651GiB"
2026-08-28T00:54:38.5954071-06:00,meridian-redis,0.35%,"6.633MiB / 7.651GiB"
2026-08-28T00:54:43.7052482-06:00,meridian-api,14.20%,"203.2MiB / 7.651GiB"
2026-08-28T00:54:43.7052482-06:00,meridian-postgres,2.82%,"43.64MiB / 7.651GiB"
2026-08-28T00:54:43.7052482-06:00,meridian-redis,0.31%,"6.438MiB / 7.651GiB"
2026-08-28T00:54:48.8176079-06:00,meridian-api,36.29%,"203.8MiB / 7.651GiB"
2026-08-28T00:54:48.8176079-06:00,meridian-postgres,2.84%,"43.58MiB / 7.651GiB"
2026-08-28T00:54:48.8176079-06:00,meridian-redis,0.32%,"6.445MiB / 7.651GiB"
2026-08-28T00:54:53.9250191-06:00,meridian-api,14.51%,"206.2MiB / 7.651GiB"
2026-08-28T00:54:53.9250191-06:00,meridian-postgres,2.80%,"43.55MiB / 7.651GiB"
2026-08-28T00:54:53.9250191-06:00,meridian-redis,0.35%,"6.352MiB / 7.651GiB"
2026-08-28T00:54:59.0318528-06:00,meridian-api,22.67%,"207.1MiB / 7.651GiB"
2026-08-28T00:54:59.0318528-06:00,meridian-postgres,2.75%,"42.84MiB / 7.651GiB"
2026-08-28T00:54:59.0318528-06:00,meridian-redis,0.35%,"6.578MiB / 7.651GiB"
2026-08-28T00:55:04.1441329-06:00,meridian-api,20.71%,"207.6MiB / 7.651GiB"
2026-08-28T00:55:04.1441329-06:00,meridian-postgres,2.95%,"43.33MiB / 7.651GiB"
2026-08-28T00:55:04.1441329-06:00,meridian-redis,0.32%,"6.57MiB / 7.651GiB"
2026-08-28T00:55:09.2846329-06:00,meridian-api,13.49%,"209.5MiB / 7.651GiB"
2026-08-28T00:55:09.2846329-06:00,meridian-postgres,2.79%,"43.31MiB / 7.651GiB"
2026-08-28T00:55:09.2846329-06:00,meridian-redis,0.33%,"6.496MiB / 7.651GiB"
2026-08-28T00:55:14.3933618-06:00,meridian-api,22.82%,"211MiB / 7.651GiB"
2026-08-28T00:55:14.3933618-06:00,meridian-postgres,2.74%,"43.25MiB / 7.651GiB"
2026-08-28T00:55:14.3933618-06:00,meridian-redis,0.34%,"6.465MiB / 7.651GiB"
2026-08-28T00:55:19.5017353-06:00,meridian-api,17.67%,"210.4MiB / 7.651GiB"
2026-08-28T00:55:19.5017353-06:00,meridian-postgres,0.02%,"43.21MiB / 7.651GiB"
2026-08-28T00:55:19.5017353-06:00,meridian-redis,0.33%,"6.508MiB / 7.651GiB"
